menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"vivi","Vivi Energia","vivi","Vivi Energia","luce","fisso","VIVIweb Allday Fix Lucegas","000652ESFML12XXWEBALLDAYDF220626","22/06/2026_00:00:00","25/06/2026_23:59:59","0.1421","120","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/WEBALLDAYDF","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","114.866"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIweb Fisso Lucegas","000652GSFML35XXVIVIWEBDBIO190626","19/06/2026_08:50:00","25/06/2026_23:59:59","0.506","84","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/VIVIwebDBIO","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.865"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIplan Fix Lucegas","000652GSFML54XXOVVPLANDFIX190626","19/06/2026_00:00:00","25/06/2026_23:59:59","0.489","102","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/_VVPLANDFIX","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.849"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIplan Real Fix Lucegas","000652GSFML53XXVVPLANDREAL190626","19/06/2026_00:00:00","25/06/2026_23:59:59","0.489","102","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/VVPLANDREAL","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.849"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIconsapevole Fix LuceGas","000652GSFML34XXVIVICONSADF190626","19/06/2026_00:00:00","25/06/2026_23:59:59","0.489","120","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/VIVICONSADF","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.831"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIweb Smart Fix Lucegas","000652GSFML11XXWEBSMARTDFF190626","19/06/2026_00:00:00","25/06/2026_23:59:59","0.562","144","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/WEBSMARTDFF","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.800"
"vivi","Vivi Energia","vivi","Vivi Energia","gas","fisso","VIVIclear Lucegas","000652GSFML21XXVIVICLEARDF190626","19/06/2026_00:00:00","25/06/2026_23:59:59","0.509","150","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/VIVICLEARDF","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","113.799"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Libera Luce","000362ESFML01XXLS16S2D000000X000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.136","69.2711","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.917"
"octopus","Octopus Energy","octopus","Octopus Energy","luce","fisso","Octopus Fissa 12M","000129ESFML49XXXXXXXXOCTOFIXv149","25/06/2026_00:00:00","30/06/2026_23:59:59","0.1089","72","pronta_fisso","prezzo fisso domestico leggibile","https://octopusenergy.it/le-nostre-tariffe","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.917"
"dolomiti","Dolomiti Energia","dolomiti","Dolomiti Energia","luce","fisso","DOLOMITI FISSO LUCE 36 WEB","000139ESFML01XXW77174WR000000000","25/06/2026_00:00:00","08/07/2026_00:00:00","0.119","72","pronta_fisso","prezzo fisso domestico leggibile","https://www.dolomitienergia.it/offerte-casa/luce/dolomiti-fisso-luce-36.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.916"
