"codice","commodity","fornitore","nome","campo_problematico","unita","motivi","testo_sorgente","stato"
"000294ESFFL01XXA2AFullB260732967","luce","A2A Energia","A2A Full Luce Business","prezzoPrincipale","€/kWh","prezzo_multifascia_senza_sintesi_verificata","Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 01 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 02 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 03 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESFFL01XXEsclDomE260732956","luce","A2A Energia","Esclusiva2a Luce","prezzoPrincipale","€/kWh","prezzo_multifascia_senza_sintesi_verificata","Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 01 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 91 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESVML01XXSmartBuP260732609","luce","A2A Energia","Smart Business+ Luce","prezzoPrincipale","€/kWh","indice_corrente_non_presente_nel_catalogo_arera","Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 01 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESFFL01XXA2AStart260732962","luce","A2A Energia","A2A Start Luce","prezzoPrincipale","€/kWh","prezzo_multifascia_senza_sintesi_verificata","Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 01 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 91 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESVFL01XXSmartBuP260732609","luce","A2A Energia","Smart Business+ Luce","prezzoPrincipale","€/kWh","indice_corrente_non_presente_nel_catalogo_arera","Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 01 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 02 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 03 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESVFL01XXSmartBus260732607","luce","A2A Energia","Smart Business - Luce","prezzoPrincipale","€/kWh","indice_corrente_non_presente_nel_catalogo_arera","Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 01 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 02 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 03 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESFFL01XXPSicuroB260732957","luce","A2A Energia","Prezzo Sicuro Verde Business","prezzoPrincipale","€/kWh","prezzo_multifascia_senza_sintesi_verificata","Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 01 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 02 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 03 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESVFL01XXSmartCas260732973","luce","A2A Energia","Smart Casa+ Luce","prezzoPrincipale","€/kWh","indice_corrente_non_presente_nel_catalogo_arera","Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 01 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 02 | Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 03 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESFFL01XXA2AFullD260732958","luce","A2A Energia","A2A Full Luce","prezzoPrincipale","€/kWh","prezzo_multifascia_senza_sintesi_verificata","Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 01 | Prezzo Componente Energia Elettricità | macroarea 06 | tipologia 01 | fascia 91 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
"000294ESVML01XXSmartCas260732972","luce","A2A Energia","Smart Casa Luce","prezzoPrincipale","€/kWh","indice_corrente_non_presente_nel_catalogo_arera","Spread | Contributo al consumo | macroarea 06 | tipologia 01 | fascia 01 | Costi di commercializzazione fissi annui | macroarea 01 | tipologia 01","quarantena_non_pubblicata"
