offerta_id,fornitore,offerta,tipo_destinazione,network_partner,stato,link_tracking,destinatario_operativo,modello_pagamento,priorita,note,ultimo_aggiornamento
1,E.ON,E.ON Luce e Gas Insieme,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",media,"Cercare programma affiliato o partner diretto prima di rendere l'uscita monetizzata.",2026-06-20
2,A2A,A2A Click,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",media,"Cercare programma affiliato o partner diretto prima di rendere l'uscita monetizzata.",2026-06-20
3,Magis Energia,Magis Energia Mia Fix,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",bassa,"Offerta presente nel calcolatore, destinazione commerciale non ancora individuata.",2026-06-20
4,Octopus Energy,Octopus Luce e Gas Monoraria,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
5,Iren,Iren Fissa 36 Mesi,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",media,"Cercare programma affiliato o partner diretto prima di rendere l'uscita monetizzata.",2026-06-20
6,NeN,neN Luce Dieci,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
7,NeN,neN Duel Luce e Gas,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
8,NeN,neN Luce Surf,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
9,NeN,neN Gas Surf,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
10,Enel,Enel Fix Web Luce e Gas,affiliazione,Tradedoubler,attiva,https://clk.tradedoubler.com/click?p=348999&a=3487966&epi=offertalogica&epi2=enel_fix_web&url=https%3A%2F%2Fwww.enel.it%2Fit-it%2Flanding%2Fcasa%2Fenel-offerte,,"CPL/CPA secondo programma Enel Italia Tradedoubler",alta,"Programma Enel Italia approvato su Tradedoubler; deeplink verso landing Enel offerte casa con EPI offertalogica ed EPI2 enel_fix_web. Bonus 200 euro dual fuel indicato in bolletta, non incluso nel costo annuo base.",2026-06-22
11,Eni Plenitude,Eni Plenitude Fix Scontata,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
12,Alperia,Alperia Smile Easy / Start,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura Awin inviata; attendere approvazione e link tracking ufficiale.",2026-06-20
13,Sorgenia,Sorgenia Next Energy Smart,partner_lead,contatto_diretto,da_contattare,,offertalogica@gmail.com,"CPA/CPL o accordo diretto da negoziare",alta,"Ricontattare dopo lucidatura sito: calcolatore attivo, pagina partner, pagina come funziona, OTP, consensi e tracking scelta offerta.",2026-06-20
