menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"a2a","A2A Energia","a2a","A2A Energia","gas","fisso","A2A Full Gas","000294GSFML01XXA2AFullD260632228","15/06/2026_00:00:00","06/07/2026_23:59:59","0.49","135","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","105.816"
"a2a","A2A Energia","a2a","A2A Energia","gas","fisso","A2A Start Gas","000294GSFML01XXA2AStart260632226","15/06/2026_00:00:00","06/07/2026_23:59:59","0.49","114","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","105.837"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFFL01XXA2AFullD260632218","15/06/2026_00:00:00","06/07/2026_23:59:59","","135","scartata","non utilizzabile direttamente","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.865"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFFL01XXA2AFullD260632227","15/06/2026_00:00:00","06/07/2026_23:59:59","","135","scartata","non utilizzabile direttamente","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.865"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFML01XXA2AFullD260632218","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","135","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.851"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFML01XXA2AFullD260632227","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","135","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.851"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFFL01XXA2AStart260632217","15/06/2026_00:00:00","06/07/2026_23:59:59","","114","scartata","non utilizzabile direttamente","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.886"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFFL01XXA2AStart260632225","15/06/2026_00:00:00","06/07/2026_23:59:59","","114","scartata","non utilizzabile direttamente","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.886"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFML01XXA2AStart260632217","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","114","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.872"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFML01XXA2AStart260632225","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","114","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.872"
"acea","Acea Energia","acea","Acea Energia","gas","fisso","Acea Energia Fix","000774GSFML01XXRT4D4027760000000","14/05/2026_00:00:00","02/07/2026_23:59:59","0.52","90","pronta_fisso","prezzo fisso domestico leggibile","https://www.aceaenergia.it/offerte-casa/acea-energia-fix#gas","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","105.858"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Flex Casa","000774GSVML01XXRT4D4027900000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.148","108","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.877"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Sprint","000774GSVML01XXRT3D4027910000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.0815","156","scartata","non utilizzabile direttamente; fuori perimetro domestico: business","https://www.aceaenergia.it/offerte-business/acea-energia-sprint-business#gas","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","5.836"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Sprint","000774GSVML01XXRT4D4027890000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.075","120","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.873"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Sprint Web","000774GSVML01XXRT4D4027880000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.043","96","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/offerte-casa/acea-energia-sprint-web#gas","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.900"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Trend 12","000774GSVML01XXRT4D4027990000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.05","111","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.884"
"acea","Acea Energia","acea","Acea Energia","gas","variabile","Acea Energia Trend 24","000774GSVML01XXRT4D4028000000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.182","120","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.862"
"acea","Acea Energia","aceapinerolese-energia","Aceapinerolese Energia","gas","variabile","ACEA GAS SOLUZIONE SEMPLICE 02_26","000694GSVML01XXSOLUZIONEGAS0226C","15/05/2026_18:00:00","31/01/2027_23:59:59","0.19","168","scartata","non utilizzabile direttamente; fuori perimetro domestico: business","https://www.aceapinerolese-energia.it/gas-business-smart/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","5.813"
"acea","Acea Energia","aceapinerolese-energia","Aceapinerolese Energia","gas","variabile","ACEA GAS SOLUZIONE SEMPLICE 02_26","000694GSVML01XXSOLUZIONEGAS0226D","15/05/2026_18:00:00","31/01/2027_23:59:59","0.19","144","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceapinerolese-energia.it/gas-casa-soluzione-semplice/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","85.837"
"acea","Acea Energia","aceapinerolese-energia","Aceapinerolese Energia","gas","variabile","GAS SOLUZIONE SEMPLICE 02_26","000694GSVML01XXSOLUZIONEGAS0226A","15/05/2026_18:00:00","31/01/2027_23:59:59","0.19","168","scartata","non utilizzabile direttamente; fuori perimetro domestico: business","https://www.aceapinerolese-energia.it/gas-business-smart/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","5.813"
"acea","Acea Energia","acea","Acea Energia","luce","fisso","Acea Energia Fix","000774ESFFL01XXRT4D4027760000000","14/05/2026_00:00:00","02/07/2026_23:59:59","","90","scartata","non utilizzabile direttamente","https://www.aceaenergia.it/offerte-casa/acea-energia-fix#luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.910"
"acea","Acea Energia","acea","Acea Energia","luce","fisso","Acea Energia Fix","000774ESFML01XXRT4D4027760000000","14/05/2026_00:00:00","02/07/2026_23:59:59","0.125","90","pronta_fisso","prezzo fisso domestico leggibile","https://www.aceaenergia.it/offerte-casa/acea-energia-fix#luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.897"
"acea","Acea Energia","acea","Acea Energia","luce","variabile","Acea Energia Flex Casa","000774ESVFL01XXRT4D4027900000000","04/06/2026_10:00:00","30/09/2026_23:59:59","0.0305","108","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","86.889"
"acea","Acea Energia","acea","Acea Energia","luce","variabile","Acea Energia Flex Casa","000774ESVML01XXRT4D4027900000000","04/06/2026_10:00:00","30/09/2026_23:59:59","0.0305","108","richiede_indice_pun_psv","serve formula indice + spread e PUN/PSV valorizzati","https://www.aceaenergia.it/elenco-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","86.889"
"acea","Acea Energia","acea","Acea Energia","luce","variabile","Acea Energia Sprint","000774ESVFL01XXRT3D4027910000000","04/06/2026_00:00:00","30/09/2026_23:59:59","0.0164","156","scartata","non utilizzabile direttamente; fuori perimetro domestico: business","https://www.aceaenergia.it/offerte-business/acea-energia-sprint-business#luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","6.842"
