offerta_id,fornitore,offerta,tipo_destinazione,network_partner,stato,link_tracking,destinatario_operativo,modello_pagamento,priorita,note,ultimo_aggiornamento
1,E.ON,E.ON Luce e Gas Insieme,affiliazione,Tradedoubler,attiva,https://clk.tradedoubler.com/click?p=344125&a=3487966&epi=offertalogica&epi2=eon_luce_gas_insieme_funnel&url=https%3A%2F%2Fwww.eon-energia.com%2Fofferta-luce-gas-insieme%2Ffunnel-bundle-new.html,,"Lead + transazione: luce 25 EUR; gas 25 EUR; dual 49 EUR",alta,"Programma E.ON Energia 344125 accettato su Tradedoubler per sito 3487966. Tasso cancellazione rilevato 83%. Deeplink verso funnel E.ON Luce e Gas Insieme.",2026-07-03
2,A2A,A2A Start Luce e Gas,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",media,"Cercare programma affiliato o partner diretto prima di rendere l'uscita monetizzata.",2026-06-25
3,Magis Energia,Magis Energia Mia Fix,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",bassa,"Offerta presente nel calcolatore, destinazione commerciale non ancora individuata.",2026-06-20
4,Octopus Energy,Octopus Luce e Gas Monoraria,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura inviata; attendere approvazione e link tracking ufficiale prima di renderla attivabile online.",2026-07-03
5,Iren,Iren Fissa 36 Mesi,da_definire,da_cercare,da_cercare,,,"CPA/CPL da negoziare",media,"Cercare programma affiliato o partner diretto prima di rendere l'uscita monetizzata.",2026-06-20
6,NeN,neN Luce Dieci,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura inviata; attendere approvazione e link tracking ufficiale.",2026-07-03
7,NeN,neN Duel Luce e Gas,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura inviata; attendere approvazione e link tracking ufficiale.",2026-07-03
8,NeN,neN Luce Surf,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura inviata; offerta separata luce da usare solo quando il filtro non richiede dual fuel.",2026-07-03
9,NeN,neN Gas Surf,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Candidatura inviata; offerta separata gas da usare solo quando il filtro non richiede dual fuel.",2026-07-03
10,Enel,Enel Fix Web Luce e Gas,affiliazione,Tradedoubler,attiva,https://clk.tradedoubler.com/click?p=348999&a=3487966&epi=offertalogica&epi2=enel_fix_web_funnel&url=https%3A%2F%2Fwww.enel.it%2Fit-it%2Fcommodity-funnel%3Fpart__c%3D%2Fcontent%2Fenel-it%2Fit-it%2Fofferte-luce-gas%2Fenel-fix-web-luce-gas%26zoneid%3Dsito-landing_enel_offerte-card_luce_gas-cta-prospect,lorenzo.rivabella@tradedoubler.com,"Lead + transazione: Enel Gas 22 EUR; Enel Luce 22 EUR; Enel Dual 44 EUR",alta,"Programma Enel Italia 348999 accettato su Tradedoubler per sito 3487966. Deeplinking autorizzato; cookie 30 giorni; tasso cancellazione 0%; keyword policy chiusa; valuta EUR.",2026-07-03
11,Eni Plenitude,Eni Plenitude Fixa Time 24,affiliazione,Tradedoubler,attiva,https://clk.tradedoubler.com/click?p=271844&a=3487966&epi=offertalogica&epi2=eni_plenitude_fixa_time_24_config&url=https%3A%2F%2Feniplenitude.com%2Fconfigura-offerta%3F_lg%3D_o.WB.CWEB3EGP.BASE_LFIXA24TIV-GFIXA24TIV%257E_c.power.gas%257E_t.monoraria%257E_p.true%257E_b.digital,lorenzo.rivabella@tradedoubler.com,"Lead CPL: igas 25 EUR; gas 25 EUR; idual 49 EUR",alta,"Programma Eni Gas e Luce_CPL 271844 accettato su Tradedoubler. Cookie post-click 30 giorni; post-view 24 ore; tasso cancellazione 62%; EPC medio 0.76 EUR.",2026-07-03
12,Alperia,Alperia Smile Easy / Start,affiliazione,Awin,attiva,https://www.awin1.com/cread.php?awinmid=17975&awinaffid=2932723&clickref=offertalogica_alperia_fisso&ued=https%3A%2F%2Fwww.alperia.eu%2Ffunnel-energia-e-gas%2F%3Ftoken%3Doff101633_off101609%26culture%3Dit-IT,,"Affiliazione Awin: commissione da completare",alta,"Programma Alperia IT 17975 accettato su Awin per affiliate 2932723. Deeplink verso funnel fisso off101633_off101609.",2026-07-03
13,Sorgenia,Sorgenia Next Energy Smart,partner_lead,contatto_diretto,da_contattare,,offertalogica@gmail.com,"CPA/CPL o accordo diretto da negoziare",alta,"Ricontattare dopo lucidatura sito: calcolatore attivo, pagina partner, pagina come funziona, OTP, consensi e tracking scelta offerta.",2026-06-20
14,E.CO Energia Corrente,E.CO Prezzo Variabile Zero Spread Luce e Gas,partner_lead,contatto_diretto,da_contattare,,info@ecocre.it,"CPL/CPA o accordo diretto da negoziare",alta,"Fornitore locale Cesena con schede sintetiche domestiche valide fino al 30/06/2026. Contatto utile per partnership lead verificati OTP e gestione clienti luce/gas.",2026-06-27
15,NeN,neN Surf Luce e Gas,affiliazione,Awin,in_attesa_approvazione,,,"CPA da confermare",alta,"Combinazione tecnica dual delle offerte variabili separate neN Luce Surf e neN Gas Surf; attendere approvazione e schede sintetiche aggiornate.",2026-07-03
16,Alperia,Alperia Luce e Gas Variabile PUN/PSV,affiliazione,Awin,attiva,https://www.awin1.com/cread.php?awinmid=17975&awinaffid=2932723&clickref=offertalogica_alperia_variabile&ued=https%3A%2F%2Fwww.alperia.eu%2Ffunnel-energia-e-gas%2F%3Ftoken%3Doff101536_off101541%26culture%3Dit-IT,,"Affiliazione Awin: commissione da completare",alta,"Programma Alperia IT 17975 accettato su Awin per affiliate 2932723. Deeplink verso funnel variabile off101536_off101541.",2026-07-03
17,E.ON,E.ON Luce e Gas Insieme Variabile,affiliazione,Tradedoubler,attiva,https://clk.tradedoubler.com/click?p=344125&a=3487966&epi=offertalogica&epi2=eon_variabile_luce_gas_dual&url=https%3A%2F%2Fwww.eon-energia.com%2Fofferta-luce-gas-insieme.html%3FswitchHolder%3Dno%26activeSupply%3Daltro%26where%3Dcasa,,"Lead + transazione: luce 25 EUR; gas 25 EUR; dual 49 EUR",alta,"Programma E.ON Energia 344125 accettato su Tradedoubler. Offerta variabile con valori commerciali comunicati il 02/07/2026; serve scheda/codice ufficiale per certificazione completa.",2026-07-03
18,Dolomiti Energia,Dolomiti Fisso Luce e Gas 36 WEB,partner_lead,contatto_diretto,da_contattare,,,"CPL/CPA o accordo diretto da negoziare",media,"Offerta certificata da Portale Offerte ARERA/AU ma senza funnel affiliato diretto; gestione come richiesta consulenziale.",2026-07-03
19,Dolomiti Energia,Dolomiti Sinergika Luce e Gas,partner_lead,contatto_diretto,da_contattare,,,"CPL/CPA o accordo diretto da negoziare",media,"Offerta variabile certificata da Portale Offerte ARERA/AU ma senza funnel affiliato diretto; gestione come richiesta consulenziale.",2026-07-03
