provider_key,fornitore,commodity,codice_offerta,nome_offerta,tipo_prezzo,data_inizio,data_fine,url_offerta,prezzi_variabili,quote_fisse_annue,prezzo_calcolo,quota_fissa_calcolo,utilizzabile_calcolatore,fonte
"3energia","3energia","luce","025665ESVFL02XX3N0POE0AU02025027","ALTRI USI EE","variabile","01/11/2025_00:00:00","31/10/2027_23:59:59","https://www.3energia.it","","200","","200","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"3energia","3energia","luce","025665ESVFL02XX3N0POE0DO03025027","DOMESTICI EE","variabile","19/05/2026_00:00:00","31/10/2027_23:59:59","https://www.3energia.it/3-energia-casa-luce-flex/","","200","","200","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"3zinnen-energy","3zinnen Energy","luce","000640ESVOL01XXDZEALTBT000000001","3 Zinnen Energy Business","variabile","15/05/2026_14:42:00","31/12/2027_23:59:59","https://www.3zinnen-energy.it/it/offerta-business","0.009","113.09","0.009","113.09","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"3zinnen-energy","3zinnen Energy","luce","000640ESVFL01XXDZEDOMML000000001","3 Zinnen Energy Privat","variabile","15/05/2026_14:57:00","31/12/2027_23:59:59","https://www.3zinnen-energy.it/it/offerta-privati","","71.2311","","71.2311","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX26UF0BZAU0REL00X1","4G DIRETTO GAS BUSINESS ALTRI USI INDEX RELAX X1","variabile","01/02/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/","0.14","168","0.14","168","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX27UF0BZAU0REL00X1","4G DIRETTO GAS BUSINESS ALTRI USI INDEX RELAX X1","variabile","01/04/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/offerte/","0.14","168","0.14","168","da_verificare","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX26UF0COTD0REL00X1","4G DIRETTO GAS CONSUMER CASA INDEX RELAX X1","variabile","01/02/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/","0.21","132","0.21","132","si","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX27UF0COTD0REL00X1","4G DIRETTO GAS CONSUMER CASA INDEX RELAX X1","variabile","01/04/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/offerte/","0.21","132","0.21","132","si","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX26UF0COTD0REL00X2","4G DIRETTO GAS CONSUMER CASA INDEX RELAX X2","variabile","01/02/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/","0.23","132","0.23","132","si","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
"4genergia","4genergia","gas","023827GSVML01XX27UF0COTD0REL00X2","4G DIRETTO GAS CONSUMER CASA INDEX RELAX X2","variabile","01/04/2026_00:00:00","31/01/2027_23:59:59","https://www.4genergia.it/offerte/","0.23","132","0.23","132","si","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026"
